CAM_018,"Analysis Failure",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_018_AnalysisFailure.kt,CAM018AnalysisFailureScreen
BAR_001,"Barcode Scanner",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_001_BarcodeScanner.kt,BAR001BarcodeScannerScreen
BAR_002,"Scanning",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_002_Scanning.kt,BAR002ScanningScreen
BAR_003,"Barcode Detected",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_003_BarcodeDetected.kt,BAR003BarcodeDetectedScreen
BAR_004,"Product Lookup",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_004_ProductLookup.kt,BAR004ProductLookupScreen
BAR_005,"Product Found",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_005_ProductFound.kt,BAR005ProductFoundScreen
BAR_006,"Serving Selector",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_006_ServingSelector.kt,BAR006ServingSelectorScreen
BAR_007,"Expanded Nutrition",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_007_ExpandedNutrition.kt,BAR007ExpandedNutritionScreen
BAR_008,"Ingredients and Allergens",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_008_IngredientsAndAllergens.kt,BAR008IngredientsAndAllergensScreen
BAR_009,"Add to Meal",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_009_AddToMeal.kt,BAR009AddToMealScreen
BAR_010,"Meal Selector",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_010_MealSelector.kt,BAR010MealSelectorScreen
BAR_011,"Confirm Product",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_011_ConfirmProduct.kt,BAR011ConfirmProductScreen
BAR_012,"Add to Shop",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_012_AddToShop.kt,BAR012AddToShopScreen
BAR_013,"Product Not Found",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_013_ProductNotFound.kt,BAR013ProductNotFoundScreen
BAR_014,"Nutrition Label Camera",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_014_NutritionLabelCamera.kt,BAR014NutritionLabelCameraScreen
BAR_015,"Label Review",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_015_LabelReview.kt,BAR015LabelReviewScreen
BAR_016,"Custom Product",app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_016_CustomProduct.kt,BAR016CustomProductScreen
FNO_001,"Fuel Now Dashboard",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_001_FuelNowDashboard.kt,FNO001FuelNowDashboardScreen
FNO_002,"Selected Date",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_002_SelectedDate.kt,FNO002SelectedDateScreen
FNO_003,"Nutrition Summary",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_003_NutritionSummary.kt,FNO003NutritionSummaryScreen
FNO_004,"Expanded Nutrition",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_004_ExpandedNutrition.kt,FNO004ExpandedNutritionScreen
FNO_005,"Meal Groups",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_005_MealGroups.kt,FNO005MealGroupsScreen
FNO_006,"Meal Detail",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_006_MealDetail.kt,FNO006MealDetailScreen
FNO_007,"Edit Meal",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_007_EditMeal.kt,FNO007EditMealScreen
FNO_008,"Delete Meal Confirmation",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_008_DeleteMealConfirmation.kt,FNO008DeleteMealConfirmationScreen
FNO_009,"Add Food Menu",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_009_AddFoodMenu.kt,FNO009AddFoodMenuScreen
FNO_010,"Food Search",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_010_FoodSearch.kt,FNO010FoodSearchScreen
FNO_011,"Food Detail",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_011_FoodDetail.kt,FNO011FoodDetailScreen
FNO_012,"Serving Selector",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_012_ServingSelector.kt,FNO012ServingSelectorScreen
FNO_013,"Recent Foods",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_013_RecentFoods.kt,FNO013RecentFoodsScreen
FNO_014,"Frequent Foods",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_014_FrequentFoods.kt,FNO014FrequentFoodsScreen
FNO_015,"Favorites",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_015_Favorites.kt,FNO015FavoritesScreen
FNO_016,"Saved Meals",app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_016_SavedMeals.kt,FNO016SavedMealsScreen
